codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
241460,201612,1,48
250040,201612,4,227
250057,201612,1,168
250080,201612,5,125
250110,201612,2,261
250120,201612,1,179
250140,201612,11,190
250270,201612,5,123
250320,201612,9,134
250403,201612,11,97
250415,201612,1,222
250490,201612,39,307
250523,201612,15,46
250527,201612,8,125
250600,201612,8,225
250710,201612,15,106
250730,201612,6,181
250830,201612,8,324
250860,201612,9,125
250890,201612,22,147
250905,201612,18,148
250910,201612,43,215
250920,201612,1,238
250930,201612,6,100
250933,201612,2,194
250950,201612,2,157
251160,201612,1,244
251170,201612,1,10
251240,201612,4,214
251250,201612,5,293
251272,201612,5,97
251276,201612,5,148
251290,201612,62,324
251370,201612,29,235
251510,201612,3,244
251530,201612,119,428
251597,201612,15,199
251600,201612,9,349
260050,201612,43,368
260210,201612,33,613
260320,201612,4,339
260380,201612,17,161
260650,201612,17,246
260750,201612,2,291
260860,201612,1,5
261030,201612,17,194
261230,201612,1,156
261300,201612,20,292
270010,201612,6,218
270030,201612,144,279
270070,201612,52,145
270080,201612,4,4
270090,201612,6,105
270120,201612,20,165
270150,201612,21,134
270160,201612,6,192
270180,201612,4,87
270200,201612,52,87
270235,201612,32,208
270240,201612,35,234
270250,201612,13,97
270255,201612,86,164
270260,201612,39,153
270290,201612,43,264
270310,201612,75,163
270320,201612,66,66
270330,201612,5,167
270340,201612,4,97
270370,201612,8,166
270400,201612,71,90
270410,201612,7,166
270420,201612,12,87
270440,201612,7,91
270460,201612,2,98
270500,201612,5,274
270530,201612,7,88
270540,201612,89,257
270570,201612,7,97
270580,201612,6,166
270590,201612,8,176
270600,201612,5,93
270610,201612,4,97
270620,201612,93,185
270630,201612,14,172
270640,201612,69,171
270670,201612,37,37
270710,201612,23,272
270720,201612,65,251
270750,201612,1,1
270800,201612,19,303
270840,201612,39,270
270880,201612,20,240
270895,201612,13,180
270910,201612,64,153
270920,201612,151,327
280120,201612,5,629
280240,201612,53,255
280420,201612,45,223
280450,201612,1,318
280470,201612,35,80
280540,201612,102,753
280550,201612,2,126
280560,201612,50,230
280600,201612,1,86
290010,201612,1,10
290035,201612,4,27
290040,201612,1,1
290135,201612,3,3
290160,201612,208,247
290210,201612,721,1241
290265,201612,301,302
290290,201612,4,22
290390,201612,1,239
290460,201612,6,37
290480,201612,1,30
290590,201612,2,810
290600,201612,8,1741
290640,201612,55,91
290680,201612,454,750
290682,201612,1,261
290720,201612,237,1584
290780,201612,237,322
290790,201612,78,155
290840,201612,190,385
290870,201612,4,145
290900,201612,4,135
290920,201612,261,397
290990,201612,3,840
291070,201612,477,550
291075,201612,281,371
291085,201612,1,1
291125,201612,1,1
291185,201612,195,196
291250,201612,24,30
291330,201612,31,89
291400,201612,2,21
291700,201612,608,805
291720,201612,2,42
291810,201612,14,110
291840,201612,9,859
292150,201612,858,1395
292225,201612,12,167
292265,201612,240,351
292273,201612,9,89
292290,201612,129,380
292305,201612,289,314
292340,201612,1,20
292380,201612,277,295
292405,201612,1,112
292420,201612,213,249
292440,201612,7,866
292450,201612,5,55
292465,201612,1,6
292580,201612,365,544
292590,201612,257,386
292600,201612,96,803
292610,201612,138,214
292630,201612,1,110
292650,201612,124,235
292660,201612,141,381
292740,201612,1,235
292760,201612,111,198
292800,201612,306,473
292895,201612,45,84
292937,201612,2,3
293020,201612,8,552
293050,201612,1,101
293075,201612,45,173
293076,201612,304,320
293077,201612,8,168
293190,201612,461,725
293200,201612,2,589
293260,201612,1,1
293300,201612,103,204
310010,201612,1,13
310090,201612,3,60
310170,201612,14,83
310240,201612,1,22
310270,201612,1,45
310285,201612,1,24
310445,201612,1,47
310450,201612,9,29
310480,201612,1,23
