codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
110001,201812,53,380
110002,201812,55,307
110004,201812,92,320
110009,201812,1,125
110013,201812,26,26
110014,201812,46,256
110020,201812,76,325
110025,201812,64,151
110028,201812,16,101
110032,201812,1,338
110037,201812,3,171
110045,201812,59,62
110070,201812,1,222
110140,201812,1,123
110146,201812,1,1
130240,201812,1,709
150010,201812,653,1596
150020,201812,73,74
150095,201812,75,94
150100,201812,74,74
150120,201812,75,76
150130,201812,368,372
150140,201812,1,1
150150,201812,140,140
150195,201812,27,27
150210,201812,137,137
150230,201812,72,213
150240,201812,1,2
150290,201812,150,150
150320,201812,151,151
150330,201812,67,67
150345,201812,73,214
150350,201812,73,298
150400,201812,76,77
150410,201812,65,65
150430,201812,75,75
150440,201812,2,76
150460,201812,144,144
150470,201812,189,221
150600,201812,150,150
150635,201812,149,150
150650,201812,131,132
150655,201812,75,76
150680,201812,1,29
150715,201812,1,1
150720,201812,62,208
150746,201812,150,150
150795,201812,34,34
150796,201812,149,150
150820,201812,75,79
150830,201812,1,506
170035,201812,2,14
170130,201812,19,19
170190,201812,16,16
170210,201812,23,23
170220,201812,28,238
170240,201812,13,153
170255,201812,1,50
170307,201812,16,79
170370,201812,10,10
170384,201812,11,129
170386,201812,1,16
170388,201812,13,13
170390,201812,17,17
170600,201812,12,12
170700,201812,12,12
170820,201812,1,3
170900,201812,19,283
170930,201812,13,13
170950,201812,4,15
171050,201812,2,157
171070,201812,24,106
171090,201812,5,135
171180,201812,1,1
171245,201812,13,13
171250,201812,10,11
171280,201812,7,84
171320,201812,19,19
171370,201812,12,12
171380,201812,12,12
171510,201812,17,17
171620,201812,26,566
171630,201812,14,17
171660,201812,15,120
171665,201812,31,31
171670,201812,5,5
171820,201812,16,16
171830,201812,15,78
171850,201812,9,117
171870,201812,20,20
171886,201812,14,14
171900,201812,10,10
172020,201812,23,23
172049,201812,11,11
172080,201812,18,109
172100,201812,15,16
172110,201812,13,13
172210,201812,20,20
210010,201812,2,179
210015,201812,1,289
210030,201812,1,407
210040,201812,2,6
210055,201812,7,155
210160,201812,1,9
210215,201812,6,184
210300,201812,2,943
210317,201812,4,188
210355,201812,3,178
210408,201812,3,185
210420,201812,1,292
210465,201812,1,178
210547,201812,9,162
210596,201812,2,129
210635,201812,2,179
210667,201812,2,279
210780,201812,1,342
210825,201812,8,180
210940,201812,1,197
210975,201812,3,174
211023,201812,2,385
211027,201812,1,176
211090,201812,1,208
211102,201812,2,193
211107,201812,5,401
211163,201812,2,169
211167,201812,3,205
211178,201812,5,481
211220,201812,1,321
211400,201812,1,15
220040,201812,79,79
220105,201812,74,76
220120,201812,152,840
220150,201812,79,583
220192,201812,1,2
220194,201812,48,48
220213,201812,12,134
220217,201812,2,151
220545,201812,78,184
220550,201812,1,1
220555,201812,79,79
220585,201812,76,253
220680,201812,74,280
