codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
292690,202112,1,57
292750,202112,11,20
292800,202112,22,497
292830,202112,25,45
292850,202112,1,79
292890,202112,3,422
292910,202112,13,16
292920,202112,8,8
292960,202112,4,23
292980,202112,1,42
293010,202112,1,270
293015,202112,15,295
293020,202112,15,666
293050,202112,5,106
293070,202112,12,115
293080,202112,16,17
293120,202112,11,28
293230,202112,15,15
293245,202112,15,127
293290,202112,1,66
293340,202112,16,94
293350,202112,15,15
310040,202112,3,20
310060,202112,11,116
310090,202112,3,192
310100,202112,4,69
310170,202112,1,354
310250,202112,11,52
310270,202112,3,111
310340,202112,1,204
310440,202112,6,28
310520,202112,1,112
310610,202112,1,4
310630,202112,3,12
310665,202112,1,110
310720,202112,2,3
310730,202112,5,222
310825,202112,1,94
310860,202112,5,279
310870,202112,1,12
310900,202112,9,11
311080,202112,2,25
311170,202112,9,65
311205,202112,1,37
311270,202112,1,108
311290,202112,13,18
311300,202112,14,156
311330,202112,5,14
311480,202112,2,5
311530,202112,1,8
311545,202112,11,122
311783,202112,1,96
311880,202112,10,343
311940,202112,2,29
311960,202112,1,1
312087,202112,1,104
312400,202112,2,24
312530,202112,1,1
312560,202112,10,117
312620,202112,1,48
312650,202112,9,110
312680,202112,14,27
312690,202112,1,20
312730,202112,4,5
312800,202112,10,24
312960,202112,5,97
312965,202112,10,138
313005,202112,2,95
313065,202112,15,190
313110,202112,2,30
313200,202112,8,149
313230,202112,18,174
313250,202112,1,153
313270,202112,12,127
313505,202112,3,378
313507,202112,2,33
313510,202112,19,408
313520,202112,12,344
313545,202112,14,152
313550,202112,1,31
313600,202112,10,97
313652,202112,1,111
313657,202112,2,95
313680,202112,5,175
313695,202112,14,92
313700,202112,10,66
313810,202112,13,82
313835,202112,2,122
313850,202112,2,5
313860,202112,3,20
313865,202112,9,101
313868,202112,10,144
313930,202112,5,201
313950,202112,3,8
314030,202112,5,5
314085,202112,7,320
314090,202112,1,11
314200,202112,2,179
314220,202112,1,9
314270,202112,1,266
314290,202112,2,538
314345,202112,7,130
314490,202112,3,47
314530,202112,10,147
314540,202112,2,7
314620,202112,14,158
314630,202112,9,183
314655,202112,9,348
314830,202112,6,63
314900,202112,1,48
314915,202112,7,156
314930,202112,1,1
314940,202112,2,7
315020,202112,2,2
315057,202112,11,128
315213,202112,9,84
315217,202112,5,57
315220,202112,1,553
315350,202112,1,1
315400,202112,5,38
315415,202112,2,2
315445,202112,4,66
315450,202112,1,95
315460,202112,3,28
315510,202112,1,93
315560,202112,2,248
315650,202112,2,144
315660,202112,15,91
315725,202112,1,57
315727,202112,2,6
315780,202112,8,18
315790,202112,11,42
315820,202112,10,87
315870,202112,4,10
315895,202112,3,17
315900,202112,6,9
315940,202112,4,7
316045,202112,1,117
316100,202112,5,40
316240,202112,19,261
316245,202112,5,101
316270,202112,5,169
316330,202112,1,38
316350,202112,9,18
316420,202112,1,126
316443,202112,2,10
316447,202112,1,26
316555,202112,2,177
316730,202112,1,2
316790,202112,1,5
316800,202112,13,142
316850,202112,2,19
316860,202112,2,123
316900,202112,2,14
316935,202112,1,20
317000,202112,15,183
317052,202112,1,140
317080,202112,6,81
317090,202112,18,293
317103,202112,4,278
317140,202112,4,25
317160,202112,4,291
410010,202112,2,4
410045,202112,9,31
410165,202112,1,35
410250,202112,15,35
410290,202112,17,99
